iteration,loss
0,10.964238166809082
1000,8.039498329162598
2000,7.212782382965088
3000,6.952244758605957
4000,6.766442775726318
5000,6.3131103515625
6000,6.094339370727539
7000,6.214595317840576
8000,5.918442249298096
9000,6.333530426025391
10000,5.603830337524414
11000,5.463609218597412
12000,5.216832637786865
13000,5.907225608825684
14000,5.873045921325684
15000,5.839506149291992
16000,5.80750846862793
17000,5.862064838409424
18000,5.688047885894775
19000,5.718539714813232
20000,5.533098220825195
21000,5.130330562591553
22000,5.708209991455078
23000,4.734330177307129
24000,5.018186569213867
25000,5.572964668273926
26000,5.341454029083252
27000,5.277971267700195
28000,5.370614051818848
29000,5.43282413482666
30000,4.961755275726318
31000,5.333401203155518
32000,5.506195545196533
33000,5.595297813415527
34000,5.168822288513184
35000,5.487943649291992
36000,4.442965030670166
37000,5.19185209274292
38000,5.365301132202148
39000,4.997692584991455
40000,5.472960948944092
41000,5.231025218963623
42000,4.988331317901611
43000,5.214111328125
44000,4.704617977142334
45000,4.9137067794799805
46000,5.367241382598877
47000,5.207657814025879
48000,4.712170600891113
49000,5.24058723449707
50000,4.844160079956055
51000,4.816342353820801
52000,5.2596611976623535
53000,4.926880836486816
54000,5.2324652671813965
55000,4.270771503448486
56000,5.0520920753479
57000,4.5055060386657715
58000,4.863100051879883
59000,5.229116439819336
60000,5.058967590332031
61000,4.9725189208984375
62000,4.785482883453369
63000,4.749013900756836
64000,5.059540748596191
65000,4.8877387046813965
66000,4.982534408569336
67000,5.035489082336426
68000,4.9623918533325195
69000,4.7199811935424805
70000,4.0992560386657715
71000,4.414705276489258
72000,4.342593193054199
73000,4.401915073394775
74000,4.778921604156494
75000,4.968329429626465
76000,5.121912479400635
77000,4.868860244750977
78000,4.657621383666992
79000,4.931090831756592
80000,4.193090438842773
81000,4.861654758453369
82000,4.981221675872803
83000,4.6879425048828125
84000,4.436271667480469
85000,4.976861953735352
86000,4.930233478546143
87000,5.3086347579956055
88000,4.754968166351318
89000,4.793662071228027
