iteration,loss
0,10.975777626037598
1000,7.781960964202881
2000,6.951426029205322
3000,6.446785926818848
4000,6.237805366516113
5000,6.603795051574707
6000,6.275269508361816
7000,6.346913814544678
8000,6.30145263671875
9000,5.794240474700928
10000,5.312227249145508
11000,5.994220733642578
12000,5.734289169311523
13000,5.164858818054199
14000,5.751991271972656
15000,5.647132396697998
16000,5.924935817718506
17000,6.05202054977417
18000,4.993039608001709
19000,5.298676013946533
20000,5.725656032562256
21000,5.434399604797363
22000,5.490733623504639
23000,5.379270553588867
24000,5.484595775604248
25000,5.3411407470703125
26000,5.344516754150391
27000,5.550724029541016
28000,5.412343502044678
29000,4.996147632598877
30000,5.174565315246582
31000,5.509289741516113
32000,5.433603286743164
33000,5.429819107055664
34000,4.76087760925293
35000,5.2302141189575195
36000,5.06292724609375
37000,4.904158115386963
38000,5.086568355560303
39000,5.0990705490112305
40000,4.741604804992676
41000,5.257989883422852
42000,5.120298385620117
43000,4.856194496154785
44000,5.39188814163208
45000,4.762606620788574
46000,5.098715305328369
47000,4.88738489151001
48000,5.032777786254883
49000,4.712253570556641
50000,5.492807865142822
51000,4.494174480438232
52000,5.050694942474365
53000,5.159468650817871
54000,4.796548366546631
55000,4.774785041809082
56000,4.515641212463379
57000,4.430100917816162
58000,4.432446002960205
59000,4.653739929199219
60000,5.36911678314209
61000,4.925388813018799
62000,4.829575061798096
63000,5.012925148010254
64000,5.130889892578125
65000,5.040826797485352
66000,4.717458248138428
67000,4.856465816497803
68000,4.384507656097412
69000,4.411343574523926
70000,4.731106281280518
71000,4.684872627258301
72000,5.021131992340088
73000,4.52055025100708
74000,4.961216926574707
75000,4.730032444000244
76000,3.522520065307617
77000,4.695798873901367
