iteration,loss
0,10.990493774414062
1000,7.302443981170654
2000,7.386719226837158
3000,6.676840305328369
4000,6.544376373291016
5000,6.2063517570495605
6000,6.334712505340576
7000,6.354305744171143
8000,6.249052047729492
9000,5.921432018280029
10000,5.755916595458984
11000,5.683260917663574
12000,6.29017448425293
13000,5.7388834953308105
14000,5.6474528312683105
15000,5.729772090911865
16000,5.869180679321289
17000,5.056014537811279
18000,5.7056779861450195
19000,5.026848316192627
20000,5.164640426635742
21000,5.0380072593688965
22000,5.231812000274658
23000,5.391538143157959
24000,5.249505519866943
25000,5.750258922576904
26000,5.682685375213623
27000,5.026229381561279
28000,5.309257984161377
29000,5.509056091308594
30000,5.1448845863342285
31000,4.919820308685303
32000,4.886009216308594
33000,5.212072372436523
34000,5.516731262207031
35000,5.004794120788574
36000,5.138391494750977
37000,5.4114155769348145
38000,5.419943809509277
39000,5.13135290145874
40000,5.272892951965332
41000,5.32347297668457
42000,4.7309160232543945
43000,5.016162872314453
44000,5.402382850646973
45000,5.049299716949463
46000,4.426907539367676
47000,5.227753639221191
48000,5.111104965209961
49000,5.242711544036865
50000,5.020266532897949
51000,4.226901531219482
52000,4.471632480621338
53000,4.509995937347412
54000,4.769196033477783
55000,4.906619548797607
56000,4.887089252471924
57000,5.094825267791748
58000,4.678410530090332
59000,4.321817874908447
60000,4.636236190795898
61000,3.9994864463806152
62000,5.207208156585693
63000,4.418417930603027
64000,4.521481990814209
65000,4.559874057769775
66000,4.50237512588501
67000,4.650805473327637
68000,4.9588799476623535
69000,4.460058212280273
70000,4.8042826652526855
71000,4.878690242767334
72000,4.877007484436035
73000,4.679476737976074
74000,4.262390613555908
75000,5.146097660064697
76000,4.45920467376709
77000,4.865981101989746
78000,4.994423866271973
79000,4.486619472503662
80000,4.959402561187744
81000,4.453564167022705
82000,4.498201370239258
83000,4.118363380432129
84000,4.05983304977417
85000,4.16101598739624
86000,4.425055980682373
87000,4.263192653656006
88000,4.5366082191467285
89000,4.690971374511719
